remote-sensing inversion	DierssenImageDiffuse
9	6
Comments: 
02/13/17	19:19:05
Image	debug\gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.hdr
Transect	debug\BathymetryImageDierssen_gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.txt
Params	Default
Alpha	0.01
NIter	5
Width/Height	5
X	Y	RRS555	RRS670	Depth	T	
1555	255	368.02	283.459	0.399047	7.98608	
1605	255	0	0	-1.#IND	7.98798	
1655	255	0	0	-1.#IND	8.2822	
1705	255	0	0	-1.#IND	7.90131	
1755	255	0	0	-1.#IND	9.67308	
1805	255	0	0	-1.#IND	9.29713	
1855	255	0	0	-1.#IND	9.03105	
5	305	0	0	-1.#IND	9.70805	
55	305	0	0	-1.#IND	10.9632	
105	305	0	0	-1.#IND	9.82057	
155	305	0	0	-1.#IND	7.98228	
205	305	1186.67	1872.61	0.167366	11.3415	
255	305	1812.66	3018.38	0.156135	8.01497	
305	305	958.394	1952.07	0.119691	8.00775	
355	305	621.792	902.693	0.186193	8.42246	
405	305	658.188	910.184	0.197997	8.12406	
455	305	1629.4	3377.12	0.116923	7.90321	
505	305	1487.56	2804.62	0.132668	10.7735	
555	305	1098.76	1882.94	0.150407	7.95681	
605	305	1499.87	2730.5	0.138949	10.5021	
655	305	1093.56	2044.49	0.134155	8.38217	
705	305	1976.18	3127.64	0.166736	8.69691	
755	305	1364.4	2491.61	0.138381	9.28155	
805	305	1962.74	3097.97	0.167318	8.50723	
855	305	4695.65	4434.71	0.315162	11.4296	
905	305	2761.36	3847.22	0.196142	9.30474	
955	305	2520.24	3303.5	0.211738	8.73797	
1005	305	0	0	-1.#IND	7.97696	
1055	305	0	0	-1.#IND	7.97163	
1105	305	0	0	-1.#IND	8.33161	
1155	305	0	0	-1.#IND	7.97696	
1205	305	0	0	-1.#IND	7.94426	
1255	305	0	0	-1.#IND	8.63419	
1305	305	2288.93	1523.75	0.469896	8.51217	
1355	305	0	0	-1.#IND	8.04044	
1405	305	0	0	-1.#IND	7.97163	
1455	305	0	0	-1.#IND	8.28448	
1505	305	0	0	-1.#IND	8.1043	
1555	305	0	0	-1.#IND	9.0071	
1605	305	0	0	-1.#IND	7.90625	
1655	305	0	0	-1.#IND	8.65928	
1705	305	0	0	-1.#IND	9.10821	
1755	305	0	0	-1.#IND	8.13623	
1805	305	0	0	-1.#IND	7.94807	
1855	305	0	0	-1.#IND	9.75215	
5	355	0	0	-1.#IND	8.0545	
55	355	0	0	-1.#IND	8.73759	
105	355	0	0	-1.#IND	7.9454	
155	355	0	0	-1.#IND	9.47351	
205	355	1917.89	3111.82	0.161471	9.68296	
255	355	986.202	1783.26	0.140193	8.2419	
305	355	1225.53	3025.26	0.0921405	8.55437	
355	355	0	0	-1.#IND	8.27878	
405	355	0	0	-1.#IND	9.23213	
455	355	0	0	-1.#IND	8.53232	
505	355	0	0	-1.#IND	8.63305	
555	355	0	0	-1.#IND	9.06222	
605	355	1871.69	3084.11	0.158276	8.38521	
655	355	1323.74	2139.58	0.162272	12.8566	
705	355	2241.2	3167.01	0.19267	8.40384	
755	355	4880.82	4605.63	0.315483	9.67726	
805	355	2443.73	3202.99	0.211756	10.8503	
855	355	2855.34	3542.4	0.226712	8.5251	
905	355	0	0	-1.#IND	9.81031	
955	355	0	0	-1.#IND	9.03067	
1005	355	0	0	-1.#IND	8.2993	
1055	355	0	0	-1.#IND	8.49127	
