remote-sensing inversion	DierssenImage
6	6
Comments: 
02/13/17	18:33:52
ImageHeader	debug\gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.hdr
ImageData	debug\gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.dat
Transect	debug\BathymetryImageDierssen_gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.txt
Params	Default
X	Y	RRS555	RRS670	Depth	T	
1305	505	3349	4082	0.231717	0.207169	
1355	505	0	0	-1.#IND	0.200707	
1405	505	2689	3883	0.187459	0.212111	
1455	505	4175	4304	0.28401	0.208309	
1505	505	3393	4502	0.208541	0.206029	
1555	505	1622	2352	0.18647	0.205648	
1605	505	1223	2318	0.131746	0.205648	
1655	505	1286	2387	0.13544	0.205268	
1705	505	1357	2594	0.130264	0.205268	
1755	505	1365	2485	0.138947	0.204888	
1805	505	1501	1371	0.327788	0.307522	
1855	505	1398	2692	0.129004	0.233778	
5	555	1415	2474	0.146517	0.233778	
55	555	1097	1441	0.211176	0.208309	
105	555	1721	2535	0.182791	0.207929	
155	555	1358	2211	0.160753	0.23948	
205	555	1122	2019	0.141089	0.207929	
255	555	882	1514	0.15008	0.206409	
305	555	2538	3764	0.181211	0.21173	
355	555	5128	4828	0.31632	0.228836	
405	555	2353	3106	0.209891	0.21021	
455	555	2938	3843	0.212295	0.21135	
505	555	0	0	-1.#IND	0.222754	
555	555	0	0	-1.#IND	0.200707	
605	555	2230	1449	0.482613	0.21097	
655	555	2221	1326	0.529326	0.208309	
705	555	0	0	-1.#IND	0.224655	
755	555	0	0	-1.#IND	0.357319	
805	555	2381	1549	0.481968	0.20907	
855	555	2376	1593	0.466215	0.206789	
905	555	2351	1515	0.487036	0.20907	
955	555	0	0	-1.#IND	0.201467	
1005	555	2010	1428	0.437103	0.207549	
1055	555	0	0	-1.#IND	0.201087	
1105	555	0	0	-1.#IND	0.201087	
1155	555	0	0	-1.#IND	0.218953	
1205	555	0	0	-1.#IND	0.203368	
1255	555	0	0	-1.#IND	0.200707	
1305	555	2710	3494	0.216145	0.207169	
1355	555	5091	4723	0.321857	0.21021	
1405	555	2060	2873	0.195889	0.24062	
1455	555	2717	3742	0.199013	0.229977	
1505	555	1411	2570	0.138857	0.20907	
1555	555	1401	2449	0.146558	0.223514	
1605	555	1441	2683	0.134886	0.212491	
1655	555	1421	2579	0.139511	0.206409	
1705	555	1426	2574	0.140516	0.206029	
1755	555	1636	3126	0.130338	0.206409	
1805	555	1297	1681	0.21474	0.206409	
1855	555	1651	3243	0.125637	0.206409	
5	605	1853	2661	0.188781	0.206409	
55	605	883	1079	0.230992	0.33109	
105	605	1214	2060	0.152353	0.316265	
155	605	2222	3304	0.180607	0.208309	
205	605	2722	3732	0.200146	0.215532	
255	605	2176	2814	0.215334	0.250123	
305	605	2326	3089	0.208309	0.207929	
355	605	2711	4018	0.181359	0.21021	
405	605	3049	3388	0.259466	0.206789	
455	605	1990	2913	0.184247	0.218573	
505	605	2093	1346	0.488126	0.212871	
555	605	2175	1381	0.495004	0.206789	
605	605	2346	1406	0.527137	0.21021	
655	605	2450	1450	0.53435	0.212491	
705	605	2500	1450	0.546119	0.206029	
755	605	2323	1406	0.521536	0.206409	
805	605	2328	1466	0.499494	0.207549	
855	605	0	0	-1.#IND	0.20907	
905	605	0	0	-1.#IND	0.200327	
955	605	0	0	-1.#IND	0.2391	
1005	605	0	0	-1.#IND	0.231117	
1055	605	0	0	-1.#IND	0.203368	
1105	605	0	0	-1.#IND	0.201467	
1155	605	0	0	-1.#IND	0.201087	
1205	605	0	0	-1.#IND	0.201087	
1255	605	5085	4760	0.318474	0.206409	
1305	605	2306	3300	0.189616	0.206789	
1355	605	3274	4546	0.196983	0.20945	
1405	605	1453	2758	0.131488	0.206029	
1455	605	1441	2477	0.149807	0.207549	
1505	605	1345	2370	0.14503	0.205648	
1555	605	1426	2411	0.153072	0.206029	
1605	605	1638	2648	0.162236	0.205268	
1655	605	1518	2610	0.149759	0.249363	
1705	605	1511	2722	0.140884	0.234538	
1755	605	1182	2517	0.11274	0.230357	
1805	605	1493	2233	0.179269	0.207169	
1855	605	1466	3070	0.11531	0.206409	
5	655	1987	3590	0.140342	0.342494	
55	655	2450	4053	0.157468	0.21135	
105	655	2764	3548	0.217329	0.217432	
155	655	1989	2904	0.184855	0.20945	
205	655	0	0	-1.#IND	0.201847	
255	655	3419	4381	0.217809	0.206409	
305	655	2436	3080	0.221452	0.206409	
355	655	2051	2559	0.225126	0.206789	
405	655	0	0	-1.#IND	0.307142	
455	655	0	0	-1.#IND	0.202607	
505	655	0	0	-1.#IND	0.298779	
555	655	0	0	-1.#IND	0.230357	
605	655	2465	1473	0.528811	0.208309	
655	655	2364	1400	0.533979	0.206029	
705	655	0	0	-1.#IND	0.200707	
755	655	0	0	-1.#IND	0.200707	
805	655	0	0	-1.#IND	0.218193	
855	655	0	0	-1.#IND	0.203748	
905	655	0	0	-1.#IND	0.208309	
955	655	0	0	-1.#IND	0.200707	
1005	655	0	0	-1.#IND	0.218953	
1055	655	0	0	-1.#IND	0.201847	
1105	655	0	0	-1.#IND	0.201467	
1155	655	4827	4845	0.293217	0.207169	
1205	655	1869	2660	0.190938	0.255445	
1255	655	1876	2910	0.1711	0.242521	
1305	655	1763	2786	0.167063	0.230737	
1355	655	1344	2609	0.127627	0.207169	
1405	655	1241	2339	0.132725	0.206409	
1455	655	1437	2625	0.138325	0.207929	
1505	655	1262	2332	0.136242	0.207169	
1555	655	1305	2369	0.13947	0.206409	
1605	655	1386	2708	0.126532	0.20983	
1655	655	1371	2640	0.129005	0.20907	
1705	655	1256	2670	0.113001	0.206409	
1755	655	1507	2940	0.126785	0.206029	
1805	655	1403	1914	0.201406	0.206029	
1855	655	1501	2806	0.13417	0.205648	
5	705	2251	3214	0.190161	0.205268	
55	705	1766	2567	0.1859	0.245942	
105	705	4634	4400	0.313178	0.242901	
155	705	2151	2898	0.204589	0.230737	
205	705	2669	3408	0.218761	0.206789	
255	705	1688	1960	0.245937	0.206029	
305	705	1686	1267	0.410347	0.206409	
355	705	0	0	-1.#IND	0.201467	
405	705	0	0	-1.#IND	0.200327	
455	705	0	0	-1.#IND	0.199186	
505	705	2389	1488	0.505516	0.327669	
555	705	0	0	-1.#IND	0.334511	
